,,,,,,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Grayson Allen\allengr01,24,MEM,NBA,2019-20,30,0,16.6,2.6,5.9,1.5,2.8,1.1,3.0,1.0,1.2,0.2,2.0,2.2,1.4,0.2,0.0,0.8,1.2,7.4,.449,.541,.363,.543,.857,.577
2,Kostas Antetokounmpo\antetko01,22,LAL,NBA,2019-20,3,0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,,,,,,
3,Thanasis Antetokounmpo\antetth01,27,MIL,NBA,2019-20,18,2,5.2,1.1,2.0,1.1,1.6,0.0,0.4,0.4,0.8,0.6,0.4,1.1,0.5,0.3,0.1,0.6,0.7,2.5,.528,.655,.000,.528,.467,.528
4,Deandre Ayton\aytonde01,21,PHO,NBA,2019-20,30,25,33.2,8.5,15.5,8.5,15.4,0.0,0.1,2.0,2.6,4.1,7.9,12.0,1.9,0.7,1.7,2.4,3.2,19.0,.548,.552,.000,.548,.769,.571
5,Marvin Bagley\baglema01,20,SAC,NBA,2019-20,13,6,25.7,6.0,12.8,5.7,11.2,0.3,1.7,1.9,2.4,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2,.467,.510,.182,.479,.806,.512
6,Mohamed Bamba\bambamo01,21,ORL,NBA,2019-20,60,0,14.5,2.2,4.7,1.6,3.0,0.6,1.7,0.5,0.8,1.6,3.4,5.0,0.7,0.4,1.4,0.7,1.9,5.5,.468,.534,.356,.534,.674,.549
7,Keita Bates-Diop\bateske01,24,TOT,NBA,2019-20,39,0,17.1,2.3,5.3,1.5,2.9,0.8,2.4,1.3,1.8,0.5,2.3,2.9,0.8,0.4,0.5,0.4,1.0,6.6,.428,.509,.330,.502,.710,.541
8,Jonah Bolden\boldejo01,24,TOT,NBA,2019-20,7,0,6.7,0.6,1.6,0.6,1.0,0.0,0.6,0.3,0.6,0.4,0.9,1.3,0.0,0.4,0.3,0.3,1.4,1.4,.364,.571,.000,.364,.500,.392
9,Isaac Bonga\bongais01,20,WAS,NBA,2019-20,58,41,17.7,1.7,3.2,1.3,2.2,0.4,0.9,0.9,1.1,1.1,2.1,3.2,1.1,0.6,0.4,0.7,2.3,4.6,.522,.574,.400,.582,.813,.627
10,Mikal Bridges\bridgmi01,23,PHO,NBA,2019-20,65,24,27.3,3.2,6.3,2.4,3.8,0.9,2.4,1.4,1.6,0.9,3.1,4.0,1.8,1.4,0.6,1.0,2.2,8.7,.516,.621,.352,.585,.848,.623
11,Miles Bridges\bridgmi02,21,CHO,NBA,2019-20,65,64,30.7,4.9,11.6,3.4,7.0,1.5,4.6,1.6,2.0,1.4,4.2,5.6,1.8,0.6,0.7,1.5,2.0,13.0,.424,.486,.330,.489,.809,.520
12,Ryan Broekhoff\broekry01,29,DAL,NBA,2019-20,17,1,10.6,1.3,3.5,0.1,0.5,1.2,3.0,0.4,0.5,0.3,2.2,2.5,0.6,0.3,0.2,0.4,0.9,4.2,.373,.250,.392,.542,.875,.568
13,Bruce Brown\brownbr01,23,DET,NBA,2019-20,58,43,28.2,3.4,7.7,2.8,6.1,0.6,1.7,1.5,2.1,1.1,3.7,4.7,4.0,1.1,0.5,1.7,2.8,8.9,.443,.470,.344,.480,.739,.518
14,Troy Brown\browntr01,20,WAS,NBA,2019-20,61,14,24.9,3.8,8.3,2.9,5.9,0.8,2.4,1.4,1.9,1.0,4.3,5.3,2.3,1.2,0.1,1.1,1.8,9.7,.453,.496,.345,.502,.754,.534
15,Jalen Brunson\brunsja01,23,DAL,NBA,2019-20,57,16,17.9,3.2,6.8,2.4,4.7,0.8,2.1,1.1,1.3,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3,8.2,.466,.515,.358,.522,.813,.553
16,Deonte Burton\burtode02,26,OKC,NBA,2019-20,34,0,8.4,1.1,3.1,0.9,1.7,0.3,1.4,0.2,0.4,0.2,1.2,1.4,0.3,0.1,0.3,0.4,0.8,2.8,.371,.492,.217,.419,.500,.426
17,Jevon Carter\carteje01,24,PHO,NBA,2019-20,50,2,15.1,1.6,4.1,0.7,1.8,0.9,2.3,0.4,0.5,0.5,1.5,2.0,1.3,0.8,0.3,0.6,1.5,4.6,.400,.409,.393,.512,.840,.535
18,Wendell Carter\cartewe01,20,CHI,NBA,2019-20,43,43,29.2,4.3,8.0,4.1,7.3,0.1,0.7,2.6,3.5,3.2,6.2,9.4,1.2,0.8,0.8,1.7,3.8,11.3,.534,.564,.207,.542,.737,.590
19,Joe Chealey\chealjo01,24,CHO,NBA,2019-20,4,0,8.3,0.0,1.8,0.0,0.8,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.3,1.0,0.0,0.5,0.5,0.5,.000,.000,.000,.000,1.000,.127
20,Chris Chiozza\chiozch01,24,TOT,NBA,2019-20,21,0,11.9,1.5,3.8,0.7,1.8,0.9,2.0,0.1,0.1,0.3,1.4,1.7,2.3,0.7,0.1,0.8,1.1,4.0,.405,.368,.439,.519,1.000,.526
21,Gary Clark\clarkga01,25,TOT,NBA,2019-20,35,1,12.1,1.1,2.9,0.3,0.4,0.8,2.5,0.2,0.3,0.8,1.7,2.4,0.4,0.1,0.4,0.1,0.9,3.2,.376,.667,.326,.515,.889,.534
22,Antonius Cleveland\clevean01,25,DAL,NBA,2019-20,6,0,3.7,0.3,1.0,0.3,0.8,0.0,0.2,0.2,0.3,0.0,0.5,0.5,0.0,0.2,0.2,0.2,0.3,0.8,.333,.400,.000,.333,.500,.363
23,Hamidou Diallo\diallha01,21,OKC,NBA,2019-20,38,3,18.4,2.6,5.8,2.4,4.8,0.2,0.9,0.7,1.2,0.8,2.4,3.2,0.6,0.7,0.2,1.0,2.2,6.1,.452,.500,.200,.468,.622,.488
24,Donte DiVincenzo\divindo01,23,MIL,NBA,2019-20,59,22,23.1,3.5,7.7,2.3,3.9,1.3,3.7,1.0,1.3,1.0,3.9,4.9,2.3,1.4,0.3,1.2,1.6,9.4,.462,.576,.344,.546,.769,.570
25,Luka Dončić\doncilu01,20,DAL,NBA,2019-20,54,54,33.3,9.5,20.6,6.6,11.5,2.9,9.1,6.8,9.1,1.3,8.0,9.3,8.7,1.1,0.2,4.2,2.5,28.7,.461,.574,.318,.531,.752,.584
26,Drew Eubanks\eubandr01,22,SAS,NBA,2019-20,14,3,9.3,1.5,2.0,1.4,1.9,0.1,0.1,0.6,0.8,0.6,1.9,2.5,0.4,0.1,0.4,0.7,1.5,3.6,.750,.741,1.000,.768,.727,.776
27,Jacob Evans\evansja02,22,TOT,NBA,2019-20,29,1,14.4,1.6,4.6,1.1,3.3,0.4,1.3,0.9,1.0,0.3,1.1,1.4,1.1,0.4,0.4,0.9,1.4,4.4,.336,.337,.333,.384,.862,.436
28,Melvin Frazier\frazime01,23,ORL,NBA,2019-20,15,0,3.4,0.4,1.1,0.1,0.7,0.3,0.5,0.1,0.3,0.1,0.2,0.3,0.1,0.3,0.1,0.2,0.5,1.2,.353,.200,.571,.471,.500,.480
29,Harry Giles\gilesha01,21,SAC,NBA,2019-20,38,17,15.2,3.1,5.4,3.1,5.4,0.0,0.0,0.9,1.1,0.9,3.3,4.2,1.3,0.6,0.4,0.9,2.6,7.0,.560,.560,,.560,.767,.586
30,Shai Gilgeous-Alexander\gilgesh01,21,OKC,NBA,2019-20,63,63,35.1,7.0,14.8,5.8,11.3,1.2,3.5,4.0,5.0,0.7,5.4,6.1,3.3,1.1,0.7,1.9,1.7,19.3,.473,.511,.351,.514,.801,.566
31,Brandon Goodwin\goodwbr01,24,ATL,NBA,2019-20,34,1,12.6,2.2,5.6,1.5,3.0,0.8,2.6,0.8,0.9,0.3,1.8,2.1,1.5,0.4,0.1,0.9,1.3,6.1,.400,.485,.299,.468,.933,.507
32,Devonte' Graham\grahade01,24,CHO,NBA,2019-20,63,53,35.1,5.8,15.3,2.4,6.0,3.5,9.3,3.0,3.7,0.7,2.7,3.4,7.5,1.0,0.2,2.9,1.8,18.2,.382,.397,.373,.495,.820,.537
33,Josh Gray\grayjo01,26,NOP,NBA,2019-20,2,0,11.5,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,2.5,0.5,1.0,.500,.500,,.500,,.500
34,Dusty Hannahs\hannadu01,26,MEM,NBA,2019-20,2,0,6.5,2.0,4.5,1.0,3.0,1.0,1.5,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,6.0,.444,.333,.667,.556,1.000,.607
35,Isaiah Hartenstein\harteis01,21,HOU,NBA,2019-20,23,2,11.6,1.9,2.9,1.9,2.7,0.0,0.2,0.8,1.2,1.3,2.7,3.9,0.8,0.4,0.5,0.7,1.8,4.7,.657,.710,.000,.657,.679,.674
36,Aaron Holiday\holidaa01,23,IND,NBA,2019-20,58,26,23.6,3.5,8.6,2.1,5.1,1.4,3.5,1.1,1.2,0.4,1.9,2.3,3.3,0.8,0.2,1.3,1.8,9.4,.407,.416,.394,.488,.861,.517
37,Kevin Huerter\huertke01,21,ATL,NBA,2019-20,56,48,31.4,4.5,10.9,2.2,4.9,2.3,6.0,0.9,1.1,0.6,3.4,4.1,3.8,0.9,0.5,1.6,2.5,12.2,.413,.453,.380,.517,.828,.536
38,Chandler Hutchison\hutchch01,23,CHI,NBA,2019-20,28,10,18.8,2.9,6.3,2.4,4.9,0.4,1.4,1.6,2.8,0.6,3.2,3.9,0.9,1.0,0.3,1.0,1.7,7.8,.457,.496,.316,.491,.590,.521
39,Frank Jackson\jacksfr01,21,NOP,NBA,2019-20,51,1,12.9,1.9,5.0,1.2,2.7,0.8,2.4,0.9,1.3,0.4,1.0,1.4,0.8,0.3,0.1,0.8,1.3,5.6,.385,.438,.325,.461,.750,.500
40,Jaren Jackson\jacksja02,20,MEM,NBA,2019-20,54,54,28.0,6.1,13.0,3.6,6.7,2.5,6.3,2.3,3.1,1.0,3.7,4.7,1.4,0.7,1.6,1.7,4.1,16.9,.468,.535,.397,.564,.741,.590
41,Amile Jefferson\jeffeam01,26,ORL,NBA,2019-20,18,0,4.1,0.3,0.8,0.3,0.8,0.0,0.0,0.3,0.8,0.6,0.7,1.3,0.2,0.1,0.2,0.2,0.4,0.8,.357,.357,,.357,.357,.372
42,Alize Johnson\johnsal02,23,IND,NBA,2019-20,13,0,4.2,0.5,1.2,0.5,1.2,0.0,0.0,0.3,0.5,0.5,0.8,1.4,0.2,0.0,0.0,0.2,0.5,1.4,.467,.467,,.467,.667,.510
43,B.J. Johnson\johnsbj01,24,ORL,NBA,2019-20,8,0,5.8,0.6,2.3,0.5,1.5,0.1,0.8,0.3,0.3,0.1,0.6,0.8,0.3,0.3,0.0,0.4,0.0,1.6,.278,.333,.167,.306,1.000,.344
44,Kevin Knox\knoxke01,20,NYK,NBA,2019-20,65,4,17.9,2.2,6.2,1.2,3.1,1.0,3.1,1.0,1.6,0.4,2.4,2.8,0.9,0.4,0.4,0.7,1.6,6.4,.359,.391,.327,.440,.653,.470
45,Rodions Kurucs\kurucro01,21,BRK,NBA,2019-20,39,4,12.8,1.5,3.4,0.9,1.8,0.6,1.7,0.4,0.7,0.5,2.0,2.5,0.8,0.4,0.1,0.9,1.7,4.2,.448,.507,.385,.541,.607,.554
46,Daryl Macon\maconda01,24,MIA,NBA,2019-20,4,0,3.5,0.3,0.8,0.0,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,0.8,.333,.000,.500,.500,,.500
47,J.P. Macura\macurjp01,24,CLE,NBA,2019-20,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
48,Josh Magette\magetjo01,30,ORL,NBA,2019-20,8,0,4.8,0.6,1.9,0.5,1.4,0.1,0.5,0.1,0.3,0.1,0.6,0.8,0.6,0.4,0.1,0.6,0.5,1.5,.333,.364,.250,.367,.500,.378
49,De'Anthony Melton\meltode01,21,MEM,NBA,2019-20,52,8,19.4,2.8,6.8,2.1,4.5,0.7,2.3,1.7,2.0,0.7,3.0,3.7,3.0,1.3,0.3,1.5,1.8,8.1,.419,.470,.316,.472,.821,.525
50,Chimezie Metu\metuch01,22,SAS,NBA,2019-20,16,0,4.6,1.3,2.2,1.3,2.1,0.0,0.1,0.4,0.5,0.6,1.0,1.6,0.4,0.1,0.3,0.3,0.3,2.9,.571,.588,.000,.571,.750,.597
51,Shake Milton\miltosh01,23,PHI,NBA,2019-20,32,16,19.1,3.4,6.8,1.9,3.5,1.5,3.3,1.2,1.6,0.3,1.8,2.1,2.2,0.6,0.2,1.2,2.2,9.5,.498,.541,.453,.608,.765,.633
52,Džanan Musa\musadz01,20,BRK,NBA,2019-20,35,0,11.5,1.4,4.0,1.0,2.1,0.4,1.9,0.9,1.3,0.5,1.5,2.0,0.9,0.4,0.0,0.8,0.7,4.2,.360,.473,.231,.414,.750,.467
53,Sviatoslav Mykhailiuk\mykhasv01,22,DET,NBA,2019-20,56,27,22.6,3.0,7.2,0.9,2.1,2.1,5.1,1.0,1.3,0.3,1.6,1.9,1.9,0.7,0.1,1.1,1.6,9.0,.410,.425,.404,.552,.814,.578
54,Elie Okobo\okoboel01,22,PHO,NBA,2019-20,54,3,13.1,1.3,3.4,0.9,2.0,0.5,1.3,0.9,1.2,0.3,1.3,1.6,2.1,0.4,0.1,0.7,1.0,4.0,.398,.427,.352,.467,.687,.511
55,Josh Okogie\okogijo01,21,MIN,NBA,2019-20,62,28,25.0,2.7,6.4,2.1,3.9,0.7,2.5,2.5,3.1,1.4,2.9,4.3,1.6,1.1,0.4,1.4,2.2,8.6,.427,.529,.266,.479,.796,.553
56,Theo Pinson\pinsoth01,24,BRK,NBA,2019-20,33,0,11.1,1.4,4.7,0.9,2.3,0.5,2.4,0.5,0.5,0.3,1.3,1.6,1.7,0.5,0.1,1.0,1.1,3.6,.290,.400,.188,.339,.938,.370
57,Duncan Robinson\robindu01,25,MIA,NBA,2019-20,65,60,30.0,4.4,9.4,0.7,1.1,3.7,8.4,0.7,0.8,0.1,3.1,3.3,1.4,0.5,0.2,0.9,2.8,13.3,.467,.614,.448,.665,.906,.678
58,Jerome Robinson\robinje01,22,TOT,NBA,2019-20,55,4,13.6,1.4,3.9,0.8,2.0,0.6,1.9,0.4,0.5,0.2,1.8,1.9,1.2,0.4,0.3,0.6,1.5,3.7,.347,.393,.298,.419,.690,.439
59,Mitchell Robinson\robinmi01,21,NYK,NBA,2019-20,61,7,23.1,4.1,5.6,4.1,5.6,0.0,0.0,1.4,2.4,3.0,4.0,7.0,0.6,0.9,2.0,0.6,3.2,9.7,.742,.742,,.742,.568,.726
60,Collin Sexton\sextoco01,21,CLE,NBA,2019-20,65,65,33.0,7.9,16.7,6.4,12.8,1.5,3.9,3.5,4.1,0.9,2.2,3.1,3.0,1.0,0.1,2.4,2.2,20.8,.472,.501,.380,.517,.846,.560
61,Landry Shamet\shamela01,22,LAC,NBA,2019-20,47,27,27.5,3.1,7.5,0.9,1.8,2.2,5.7,1.2,1.3,0.1,1.8,1.9,1.9,0.4,0.2,0.8,2.8,9.7,.416,.494,.392,.566,.905,.599
62,Anfernee Simons\simonan01,20,POR,NBA,2019-20,65,4,21.5,3.2,8.1,2.1,4.7,1.1,3.4,1.2,1.4,0.4,1.9,2.3,1.5,0.4,0.2,0.9,2.0,8.8,.402,.448,.338,.472,.826,.506
63,Zhaire Smith\smithzh01,20,PHI,NBA,2019-20,7,0,4.6,0.4,1.6,0.4,1.1,0.0,0.4,0.3,0.6,0.0,0.3,0.3,0.3,0.4,0.0,0.3,0.6,1.1,.273,.375,.000,.273,.500,.313
64,Omari Spellman\spellom01,22,GSW,NBA,2019-20,49,3,18.1,2.6,6.0,1.7,3.8,0.9,2.2,1.5,1.9,1.6,2.9,4.5,1.0,0.7,0.5,1.1,1.3,7.6,.431,.454,.391,.503,.793,.551
65,Khyri Thomas\thomakh01,23,DET,NBA,2019-20,8,0,7.6,0.6,2.1,0.0,0.4,0.6,1.8,0.3,0.5,0.1,0.0,0.1,0.4,0.4,0.0,0.4,1.1,2.1,.294,.000,.357,.441,.500,.453
66,Gary Trent\trentga02,21,POR,NBA,2019-20,53,8,20.0,2.8,6.6,1.3,2.8,1.5,3.8,0.6,0.7,0.4,1.3,1.7,0.9,0.7,0.2,0.4,1.3,7.7,.426,.477,.388,.537,.833,.555
67,Allonzo Trier\trieral01,24,NYK,NBA,2019-20,24,1,12.1,2.1,4.4,1.3,2.2,0.8,2.2,1.4,1.8,0.3,1.0,1.2,1.2,0.1,0.2,0.9,1.2,6.5,.481,.604,.358,.571,.791,.620
68,Jarrod Uthoff\uthofja01,26,MEM,NBA,2019-20,4,0,3.5,0.3,1.8,0.3,0.8,0.0,1.0,0.5,0.5,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.3,1.0,.143,.333,.000,.143,1.000,.254
69,Jarred Vanderbilt\vandeja01,20,TOT,NBA,2019-20,11,0,4.2,0.5,0.7,0.5,0.6,0.0,0.1,0.2,0.2,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1,.625,.714,.000,.625,1.000,.676
70,Moritz Wagner\wagnemo01,22,WAS,NBA,2019-20,37,5,19.1,3.5,6.2,2.9,4.4,0.6,1.8,1.8,2.2,1.4,3.8,5.2,1.3,0.6,0.5,1.5,3.6,9.5,.575,.671,.343,.625,.817,.666
71,Lonnie Walker\walkelo01,21,SAS,NBA,2019-20,53,4,14.5,2.2,5.0,1.6,3.7,0.5,1.3,0.7,1.0,0.4,1.8,2.2,0.9,0.5,0.2,0.6,1.3,5.6,.434,.444,.408,.489,.717,.515
72,Derrick Walton\waltode01,24,TOT,NBA,2019-20,26,1,9.5,0.7,1.5,0.3,0.6,0.4,0.9,0.3,0.3,0.1,0.5,0.6,1.0,0.3,0.0,0.2,0.8,2.0,.462,.533,.417,.590,.778,.617
73,Brad Wanamaker\wanambr01,30,BOS,NBA,2019-20,63,1,19.3,2.2,5.0,1.6,3.6,0.5,1.4,1.7,1.8,0.3,1.7,2.0,2.5,0.8,0.2,1.1,1.9,6.6,.428,.452,.367,.480,.931,.560
74,Yuta Watanabe\watanyu01,25,MEM,NBA,2019-20,16,0,6.2,0.8,1.8,0.6,1.3,0.2,0.5,0.2,0.5,0.4,0.7,1.1,0.3,0.3,0.1,0.1,0.6,1.9,.414,.429,.375,.466,.375,.461
75,Johnathan Williams\willijo04,24,WAS,NBA,2019-20,11,5,12.3,1.5,2.3,1.5,2.1,0.0,0.2,0.3,0.5,1.4,2.5,3.9,0.5,0.1,0.5,0.4,1.0,3.2,.640,.696,.000,.640,.600,.643
76,Kenrich Williams\willike04,25,NOP,NBA,2019-20,35,18,22.3,1.4,4.1,0.7,1.3,0.7,2.7,0.3,0.7,1.4,3.7,5.1,1.5,0.7,0.6,0.6,2.3,3.8,.343,.511,.260,.430,.375,.430
77,Robert Williams\williro04,22,BOS,NBA,2019-20,23,1,14.0,1.8,2.7,1.8,2.7,0.0,0.0,0.6,1.1,1.5,3.2,4.7,1.0,0.9,1.2,0.9,1.7,4.3,.677,.677,,.677,.560,.671
78,Trae Young\youngtr01,21,ATL,NBA,2019-20,60,60,35.3,9.1,20.8,5.7,11.4,3.4,9.5,8.0,9.3,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,29.6,.437,.501,.361,.519,.860,.595